SectorID,Start,End,Duration
FL241,2018-52,2019-4,5
FL241,2019-15,2019-18,4
FL241,2019-21,2019-27,7
FL241,2019-43,2020-9,19
FL241,2020-11,2020-14,4
FL241,2020-20,2020-34,15
FL241,2020-36,2021-13,30
FL242,2018-1,2018-10,10
FL242,2018-12,2018-41,30
FL242,2018-43,2019-4,14
FL242,2019-8,2019-12,5
FL242,2019-14,2019-27,14
FL242,2019-29,2019-32,4
FL242,2020-5,2020-9,5
FL242,2020-15,2020-23,9
FL242,2020-25,2021-13,41
FL243,2020-19,2020-33,15
FL243,2020-36,2020-44,9
FL243,2020-46,2021-1,8
FL243,2021-9,2021-13,5
FL244,2019-18,2019-22,5
FL244,2019-26,2019-32,7
FL244,2019-42,2019-45,4
FL244,2019-52,2021-13,66
FL245,2018-1,2018-6,6
FL245,2018-19,2018-25,7
FL245,2018-35,2018-42,8
FL245,2018-44,2019-6,15
FL245,2019-12,2019-23,12
FL245,2019-25,2020-7,35
FL245,2020-9,2021-13,57
FL246,2018-8,2018-16,9
FL246,2018-30,2018-33,4
FL246,2018-36,2018-41,6
FL246,2018-44,2019-3,12
FL246,2019-9,2019-28,20
FL246,2019-41,2019-45,5
FL246,2020-4,2020-12,9
FL246,2020-19,2020-29,11
FL246,2020-31,2020-34,4
FL246,2020-39,2020-43,5
FL246,2020-50,2021-1,4
FL247,2018-1,2018-6,6
FL247,2018-8,2018-12,5
FL247,2018-14,2018-30,17
FL247,2018-46,2019-34,41
FL247,2019-40,2019-44,5
FL247,2019-46,2019-50,5
FL247,2019-52,2020-6,7
FL247,2020-8,2020-30,23
FL247,2020-32,2020-35,4
FL247,2020-37,2021-13,29
FL248,2018-40,2018-47,8
FL248,2019-1,2019-4,4
FL248,2019-10,2019-20,11
FL248,2019-22,2019-29,8
FL248,2019-31,2019-34,4
FL248,2019-41,2019-44,4
FL248,2019-51,2020-4,6
FL248,2020-6,2020-13,8
FL248,2020-19,2020-31,13
FL248,2020-47,2020-51,5
FL249,2018-3,2018-7,5
FL249,2018-9,2018-20,12
FL249,2018-22,2018-26,5
FL249,2018-43,2018-52,10
FL249,2019-4,2019-11,8
FL249,2019-13,2019-21,9
FL249,2020-1,2020-5,5
FL249,2020-7,2020-13,7
FL249,2020-15,2020-32,18
FL249,2020-34,2021-13,32
FL25,2018-19,2018-39,21
FL25,2019-10,2019-16,7
FL25,2019-19,2019-22,4
FL25,2019-24,2019-29,6
FL25,2019-39,2019-46,8
FL25,2020-1,2020-6,6
FL25,2020-18,2020-28,11
FL25,2020-30,2020-34,5
FL25,2020-50,2021-10,13
